county,year,month,rainfall_mm,temp_c
Trans Nzoia,2020,1,129.89000000000001,16.66
Trans Nzoia,2020,2,101.78999999999999,17.33
Trans Nzoia,2020,3,267.53000000000003,17.99
Trans Nzoia,2020,4,441.90000000000003,17.38
Trans Nzoia,2020,5,306.59000000000003,17.11
Trans Nzoia,2020,6,430.79999999999995,16.36
Trans Nzoia,2020,7,330.15000000000003,15.65
Trans Nzoia,2020,8,448.88,16.15
Trans Nzoia,2020,9,492.9,16.72
Trans Nzoia,2020,10,242.10999999999999,16.72
Trans Nzoia,2020,11,195.0,16.54
Trans Nzoia,2020,12,63.86,15.77
Trans Nzoia,2021,1,88.03999999999999,15.89
Trans Nzoia,2021,2,39.76,17.28
Trans Nzoia,2021,3,59.83,18.46
Trans Nzoia,2021,4,166.79999999999998,18.17
Trans Nzoia,2021,5,305.34999999999997,17.03
Trans Nzoia,2021,6,45.0,16.75
Trans Nzoia,2021,7,169.88000000000002,15.79
Trans Nzoia,2021,8,138.88000000000002,16.67
Trans Nzoia,2021,9,265.79999999999995,17.09
Trans Nzoia,2021,10,201.5,17.07
Trans Nzoia,2021,11,83.7,17.31
Trans Nzoia,2021,12,66.03,16.83
Trans Nzoia,2022,1,92.07000000000001,16.64
Trans Nzoia,2022,2,32.199999999999996,18.29
Trans Nzoia,2022,3,114.39,19.06
Trans Nzoia,2022,4,149.4,18.36
Trans Nzoia,2022,5,153.14000000000001,17.78
Trans Nzoia,2022,6,88.2,16.83
Trans Nzoia,2022,7,255.44,16.27
Trans Nzoia,2022,8,448.88,16.07
Trans Nzoia,2022,9,296.70000000000005,16.73
Trans Nzoia,2022,10,150.97,16.67
Trans Nzoia,2022,11,81.60000000000001,16.54
Trans Nzoia,2022,12,54.56,16.48
Trans Nzoia,2023,1,15.81,16.65
Trans Nzoia,2023,2,13.719999999999999,18.94
Trans Nzoia,2023,3,279.0,18.59
Trans Nzoia,2023,4,380.4,17.53
Trans Nzoia,2023,5,200.26,17.56
Trans Nzoia,2023,6,276.6,17.01
Trans Nzoia,2023,7,254.82000000000002,16.62
Trans Nzoia,2023,8,185.07,17.19
Trans Nzoia,2023,9,197.10000000000002,17.76
Trans Nzoia,2023,10,203.35999999999999,17.72
Trans Nzoia,2023,11,210.6,16.67
Trans Nzoia,2023,12,57.660000000000004,16.92
Trans Nzoia,2024,1,122.45,17.05
Trans Nzoia,2024,2,221.56,17.8
Trans Nzoia,2024,3,97.64999999999999,18.37
Trans Nzoia,2024,4,431.70000000000005,17.86
Trans Nzoia,2024,5,250.17000000000002,17.78
Trans Nzoia,2024,6,242.7,17.12
