county,year,yield_bags_per_ha
Kenya,2010,19.2
Kenya,2011,17.6
Kenya,2012,19.3
Kenya,2013,18.8
Kenya,2014,18.4
Kenya,2019,19.9
Kenya,2020,19.4
Kenya,2021,16.9
Kenya,2022,16.2
Kenya,2023,19.6
Kenya,2024,18.6
