Model,n (months),Rain effect (KES/kg per +100 mm),p (rain),Fuel effect (KES/kg per +10 KES/L),p (fuel),Adjusted R²,AIC,Durbin-Watson
1. Rainfall only,67,-0.043059933368245,0.885,,,-0.014846175835892428,422.86121058248415,0.6515110394436813
2. Rainfall + fuel price,67,-0.33259022409154393,0.205,1.3929582553465365,0.362,0.030412183928172576,420.76580433886465,0.6960842243980722
3. Rainfall + fuel + month,67,-0.3090569780927248,0.244,1.4618541897281183,0.372,-0.11338559139916526,439.3956048755169,0.6682101537810702
