county,year,yield_kg_per_acre,rainfall_mm,temp_c
Kenya,2010,699.3,944.9,17.4
Kenya,2011,641.0,916.1,17.9
Kenya,2012,703.0,996.6,17.3
Kenya,2013,684.7,925.6,17.3
Kenya,2014,670.2,685.8,18.0
