county,year,yield_kg_per_acre,rainfall_mm,temp_c
Kenya,2010,699.3,944.9,17.4
Kenya,2011,641.0,916.1,17.9
Kenya,2012,703.0,996.6,17.3
Kenya,2013,684.7,925.6,17.3
Kenya,2014,670.2,685.8,18.0
Kenya,2019,724.8,959.3,18.5
Kenya,2020,706.6,1526.4,17.2
Kenya,2021,615.5,737.9,17.5
Kenya,2022,590.0,871.4,18.0
Kenya,2023,713.9,1161.7,18.0
Kenya,2024,677.5,1407.1,17.8
